rule,g,target,attributor,focal,lds,p_onesided,n_masks,ci_lo,ci_hi,ceiling,bar_half_ceiling,ratio,PASS
random,3,C9,TRAK,False,-0.2252173913043478,0.8549962862030643,24,-0.6103455283307693,0.2438770467899419,0.8945496491396712,0.4472748245698356,-0.25176622842672797,False
random,3,C9,TracIn,False,0.48521739130434777,0.008122231090201494,24,0.055429883191206605,0.7756752137931799,0.8945496491396712,0.4472748245698356,0.542415272054495,True
random,5,C1,IF,True,-0.2860869565217391,0.9123298030582653,24,-0.623225350117194,0.12498072995930123,0.9327641408751334,0.4663820704375667,-0.30670878519550293,False
random,5,C1,TRAK,True,-0.4904347826086956,0.9925151472827966,24,-0.7314115099954437,-0.10161437246963642,0.9327641408751334,0.4663820704375667,-0.5257864889065764,False
random,5,C1,TracIn,True,0.014782608695652172,0.47267106288681715,24,-0.4086538536978541,0.4426270284901481,0.9327641408751334,0.4663820704375667,0.01584817431101383,False
random,5,C2,IF,False,0.4417391304347826,0.015343259942842009,24,0.026696762580619187,0.7368744796966052,0.9115002366303833,0.45575011831519163,0.48462865140638406,False
random,5,C2,TRAK,False,-0.08173913043478259,0.6479151427819559,24,-0.47157183074022174,0.34826076552827423,0.9115002366303833,0.45575011831519163,-0.08967538037834664,False
random,5,C2,TracIn,False,0.3356521739130434,0.054413332947234855,24,-0.03587315993634374,0.6136839068479708,0.9115002366303833,0.45575011831519163,0.3682414555961894,False
random,5,C3,IF,False,0.23304347826086955,0.13656023796491507,24,-0.2067239034587778,0.6089685508101295,0.6441876915821739,0.32209384579108696,0.3617633203895856,False
random,5,C3,TRAK,False,-0.25652173913043474,0.8868572332972596,24,-0.6509702675440703,0.20664118278636154,0.6441876915821739,0.32209384579108696,-0.39820962505570057,False
random,5,C3,TracIn,False,0.16347826086956518,0.22264828352130367,24,-0.25066878657755637,0.5392782429886263,0.6441876915821739,0.32209384579108696,0.2537742695270227,False
random,5,C4,IF,False,-0.2078260869565217,0.8350906910972411,24,-0.578039374493801,0.17120970337443547,0.7945492662473793,0.39727463312368966,-0.26156475851783867,False
random,5,C4,TRAK,False,-0.40695652173913033,0.9757875285639479,24,-0.744869539338511,0.02171310715332048,0.7945492662473793,0.39727463312368966,-0.5121853848801192,False
random,5,C4,TracIn,False,0.1678260869565217,0.2165582763247178,24,-0.2301466243421143,0.5297904168033879,0.7945492662473793,0.39727463312368966,0.2112217506022714,False
random,5,C5,IF,True,-0.0826086956521739,0.6494185077764083,24,-0.44979148853330075,0.29314620713241357,0.9177998400225849,0.45889992001129243,-0.09000731101690004,False
random,5,C5,TRAK,True,-0.02869565217391304,0.5529435427124672,24,-0.4718703718593735,0.42475280779565305,0.9177998400225849,0.45889992001129243,-0.0312656975111337,False
random,5,C5,TracIn,True,0.25304347826086954,0.11643178265247717,24,-0.18971551106511705,0.6147593411415263,0.9177998400225849,0.45889992001129243,0.2757066053254517,False
random,5,C6,IF,False,-0.23652173913043475,0.867089852920191,24,-0.537402033862514,0.11439727616359201,0.940385146963973,0.4701925734819865,-0.25151581763498027,False
random,5,C6,TRAK,False,0.06608695652173913,0.37949372627591177,24,-0.36820019050136665,0.5066500799544871,0.940385146963973,0.4701925734819865,0.07027647845683273,False
random,5,C6,TracIn,False,-0.16260869565217392,0.7761229243087924,24,-0.5774336617608663,0.3115834008533918,0.940385146963973,0.4701925734819865,-0.17291712462404896,False
random,5,C7,IF,False,0.05565217391304347,0.3980937497627756,24,-0.37606231031539794,0.46220655293162294,0.9151966795585321,0.45759833977926606,0.06080897708226901,False
random,5,C7,TRAK,False,0.23391304347826083,0.13564179991434117,24,-0.20426530961109018,0.5976071893585225,0.9151966795585321,0.45759833977926606,0.2555877317989119,False
random,5,C7,TracIn,False,0.26608695652173914,0.1044181074050509,24,-0.20635926573426575,0.6835297774307206,0.9151966795585321,0.45759833977926606,0.29074292167459875,False
random,5,C8,IF,False,0.1878260869565217,0.18972924915869127,24,-0.2505493363204056,0.603555301777574,0.9097459233978006,0.4548729616989003,0.20645993801765222,False
random,5,C8,TRAK,False,-0.14782608695652172,0.7546949646285199,24,-0.5158431182944238,0.27690930773846323,0.9097459233978006,0.4548729616989003,-0.16249161788426333,False
random,5,C8,TracIn,False,-0.20347826086956516,0.8298693016800567,24,-0.5489622095656757,0.22073478206599817,0.9097459233978006,0.4548729616989003,-0.22366493285245656,False
random,5,C9,IF,False,0.017391304347826087,0.46785729835895856,24,-0.4193364822492408,0.44669826350473,0.8945496491396712,0.4472748245698356,0.019441407600519534,False
random,5,C9,TRAK,False,0.019130434782608695,0.4646505080187427,24,-0.4902107650717952,0.48978518193774606,0.8945496491396712,0.4472748245698356,0.02138554836057149,False
random,5,C9,TracIn,False,0.5930434782608696,0.0011281029205193718,24,0.16774162516196026,0.8410241141391027,0.8945496491396712,0.4472748245698356,0.6629519991777162,True
random,15,C1,IF,True,-0.06135772558789806,0.6121058664901071,24,-0.4208878896251468,0.3362916679948918,0.9327641408751334,0.4663820704375667,-0.06578053647123625,False
random,15,C1,TRAK,True,-0.03176676572990467,0.5585735571244611,24,-0.4878285803519814,0.41792082886152726,0.9327641408751334,0.4663820704375667,-0.03405658980425706,False
random,15,C1,TracIn,True,-0.08398610665577536,0.6517954165786228,24,-0.4677831547529225,0.3603839325514067,0.9327641408751334,0.4663820704375667,-0.09004002509892621,False
random,15,C2,IF,False,-0.16710189096278621,0.7824336107722843,24,-0.5901550557592552,0.26137109861277535,0.9115002366303833,0.45575011831519163,-0.18332621786311906,False
random,15,C2,TRAK,False,-0.19234123907695702,0.8160521687191276,24,-0.6117854339655983,0.26887952035334245,0.9115002366303833,0.45575011831519163,-0.21101611535286097,False
random,15,C2,TracIn,False,-0.045256762135754594,0.5831596508483654,24,-0.41542420811676545,0.33750161746860846,0.9115002366303833,0.45575011831519163,-0.049650850671261404,False
random,15,C3,IF,False,0.2985205656262275,0.07825256327124812,24,-0.15084406841125558,0.6633542704204817,0.6441876915821739,0.32209384579108696,0.46340619283339346,False
random,15,C3,TRAK,False,0.2567450928855309,0.1129336938770737,24,-0.2266524970546701,0.6532053646354443,0.6441876915821739,0.32209384579108696,0.3985563466059797,False
random,15,C3,TracIn,False,0.12358577352456064,0.2825319432956423,24,-0.3049014689879018,0.5633713891295309,0.6441876915821739,0.32209384579108696,0.19184746175609874,False
random,15,C4,IF,False,-0.04482160096137234,0.5823707557117821,24,-0.4136276576620167,0.3192217039717039,0.7945492662473793,0.39727463312368966,-0.056411355299669154,False
random,15,C4,TRAK,False,-0.15970415099828786,0.7719926253549986,24,-0.5930291424123788,0.3191537105212667,0.7945492662473793,0.39727463312368966,-0.200999683446394,False
