group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
head,last3,3,False,TracIn,C1,0.5365217391304348,0.9505589414333672,0.5644276390913778,0.003437265296666415,24,True
head,last3,3,False,TracIn,C5,0.18869565217391301,0.9380881188989534,0.20114917604477034,0.1886078175923628,24,False
head,last3,3,False,TracIn_trunc_k1,C1,0.5469565217391303,0.9505589414333672,0.5754051620558779,0.0028384827143188565,24,True
head,last3,3,False,TracIn_trunc_k1,C5,-0.37304347826086953,0.9380881188989534,-0.39766357844795613,0.9637068089119595,24,False
head,last3,3,False,TracIn_trunc_k5,C1,0.03913043478260869,0.9505589414333672,0.041165711116875205,0.4279739675356686,24,False
head,last3,3,False,TracIn_trunc_k5,C5,-0.39739130434782605,0.9380881188989534,-0.4236183108408297,0.9727553979278644,24,False
head,last5,5,True,TracIn,C1,0.5721739130434782,0.9505589414333672,0.601934175886753,0.0017416321628604475,24,True
head,last5,5,True,TracIn,C5,0.11913043478260868,0.9380881188989534,0.12699279777941722,0.28963795100406253,24,False
head,last5,5,True,TracIn_trunc_k1,C1,0.3913043478260869,0.9505589414333672,0.4116571111687521,0.02932223552833393,24,False
head,last5,5,True,TracIn_trunc_k1,C5,-0.43478260869565216,0.9380881188989534,-0.46347736415845703,0.9831313722122249,24,False
head,last5,5,True,TracIn_trunc_k5,C1,0.3652173913043478,0.9505589414333672,0.38421330375750196,0.0396399453050445,24,False
head,last5,5,True,TracIn_trunc_k5,C5,-0.33304347826086955,0.9380881188989534,-0.3550236609453781,0.9441117115070637,24,False
head,last5,5,False,TracIn,C1,0.5252173913043477,0.9505589414333672,0.5525353225465027,0.004201350368125826,24,True
head,last5,5,False,TracIn,C5,0.18,0.9380881188989534,0.19187962876160122,0.19999253772530756,24,False
head,last5,5,False,TracIn_trunc_k1,C1,0.5504347826086956,0.9505589414333672,0.579064336377378,0.002659443418930817,24,True
head,last5,5,False,TracIn_trunc_k1,C5,-0.3756521739130434,0.9380881188989534,-0.4004444426329068,0.9647731915531215,24,False
head,last5,5,False,TracIn_trunc_k5,C1,0.32434782608695645,0.9505589414333672,0.3412180054798767,0.06101661942694002,24,False
head,last5,5,False,TracIn_trunc_k5,C5,-0.44434782608695644,0.9380881188989534,-0.473673866169943,0.9851995263344416,24,False
head,evenly2,2,True,TracIn,C1,0.2678260869565217,0.9505589414333672,0.28175642275550145,0.10288195254782327,24,False
head,evenly2,2,True,TracIn,C5,0.15391304347826085,0.9380881188989534,0.16407098691209376,0.23635993344880765,24,False
head,evenly2,2,True,TracIn_trunc_k1,C1,0.32608695652173914,0.9505589414333672,0.3430475926406268,0.059964581129582424,24,False
head,evenly2,2,True,TracIn_trunc_k1,C5,0.021739130434782605,0.9380881188989534,0.02317386820792285,0.45984438371831365,24,False
head,evenly2,2,True,TracIn_trunc_k5,C1,0.3069565217391304,0.9505589414333672,0.3229221338723766,0.07228393405258686,24,False
head,evenly2,2,True,TracIn_trunc_k5,C5,0.020869565217391303,0.9380881188989534,0.022246913479605935,0.46144585156081,24,False
head,evenly2,2,False,TracIn,C1,0.4834782608695652,0.9505589414333672,0.5086252306885026,0.008344281658814063,24,True
head,evenly2,2,False,TracIn,C5,0.33826086956521734,0.9380881188989534,0.3605853893152795,0.052967201081610196,24,False
head,evenly2,2,False,TracIn_trunc_k1,C1,0.4478260869565217,0.9505589414333672,0.4711186938931274,0.014100745954841119,24,False
head,evenly2,2,False,TracIn_trunc_k1,C5,0.2678260869565217,0.9380881188989534,0.2855020563216095,0.10288195254782327,24,False
head,evenly2,2,False,TracIn_trunc_k5,C1,0.34434782608695647,0.9505589414333672,0.3622582578285018,0.04970335049650835,24,False
head,evenly2,2,False,TracIn_trunc_k5,C5,-0.011304347826086955,0.9380881188989534,-0.012050411468119882,0.5209049185994459,24,False
head,evenly3,3,True,TracIn,C1,0.39739130434782605,0.9505589414333672,0.4180606662313771,0.027244602072135662,24,False
head,evenly3,3,True,TracIn,C5,0.06956521739130435,0.9380881188989534,0.07415637826535312,0.3733487420892544,24,False
head,evenly3,3,True,TracIn_trunc_k1,C1,0.32521739130434785,0.9505589414333672,0.3421327990602518,0.0604889367718617,24,False
head,evenly3,3,True,TracIn_trunc_k1,C5,-0.45999999999999996,0.9380881188989534,-0.4903590512796475,0.9881424561650647,24,False
head,evenly3,3,True,TracIn_trunc_k5,C1,0.3026086956521739,0.9505589414333672,0.31834816597050164,0.07531820481391956,24,False
head,evenly3,3,True,TracIn_trunc_k5,C5,-0.29478260869565215,0.9380881188989534,-0.31423765289943384,0.9189947018021656,24,False
head,evenly3,3,False,TracIn,C1,0.5113043478260869,0.9505589414333672,0.5378986252605027,0.0053304449583610955,24,True
head,evenly3,3,False,TracIn,C5,0.20608695652173914,0.9380881188989534,0.21968827061110865,0.16698616357150645,24,False
head,evenly3,3,False,TracIn_trunc_k1,C1,0.4730434782608695,0.9505589414333672,0.4976477077240025,0.009782874327528116,24,False
head,evenly3,3,False,TracIn_trunc_k1,C5,-0.43478260869565216,0.9380881188989534,-0.46347736415845703,0.9831313722122249,24,False
head,evenly3,3,False,TracIn_trunc_k5,C1,0.07217391304347825,0.9505589414333672,0.07592786717112539,0.36875949204762914,24,False
head,evenly3,3,False,TracIn_trunc_k5,C5,-0.3521739130434782,0.9380881188989534,-0.3754166649683502,0.9542708275457146,24,False
embed,last1,1,False,TracIn,C1,0.26347826086956516,0.9505589414333672,0.27718245485362636,0.10675118329261908,24,False
embed,last1,1,False,TracIn,C5,0.4547826086956522,0.9380881188989534,0.4847973229097461,0.01278078985201723,24,False
embed,last1,1,False,TracIn_trunc_k1,C1,0.25217391304347825,0.9505589414333672,0.26529013830875137,0.11726378546080976,24,False
embed,last1,1,False,TracIn_trunc_k1,C5,0.4260869565217391,0.9380881188989534,0.4542078168752879,0.018942152406185592,24,False
embed,last1,1,False,TracIn_trunc_k5,C1,0.20608695652173914,0.9505589414333672,0.21680607854887612,0.16698616357150645,24,False
embed,last1,1,False,TracIn_trunc_k5,C5,0.40956521739130425,0.9380881188989534,0.4365956770372664,0.023433084632456577,24,False
embed,last2,2,True,TracIn,C1,0.2756521739130435,0.9505589414333672,0.28998956497887646,0.09615848804150054,24,False
embed,last2,2,True,TracIn,C5,0.2495652173913043,0.9380881188989534,0.2660360070269543,0.11978324027283935,24,False
embed,last2,2,True,TracIn_trunc_k1,C1,0.1591304347826087,0.9505589414333672,0.16740722520862586,0.22882789100747314,24,False
embed,last2,2,True,TracIn_trunc_k1,C5,0.22869565217391302,0.9380881188989534,0.24378909354734837,0.14121160381815823,24,False
embed,last2,2,True,TracIn_trunc_k5,C1,0.06521739130434781,0.9505589414333672,0.06860951852812533,0.3810344699390619,24,False
embed,last2,2,True,TracIn_trunc_k5,C5,0.2269565217391304,0.9380881188989534,0.24193518409071454,0.14309976860169907,24,False
embed,last2,2,False,TracIn,C1,0.25478260869565217,0.9505589414333672,0.26803451904987635,0.1147794820971082,24,False
embed,last2,2,False,TracIn,C5,0.29913043478260865,0.9380881188989534,0.3188724265410184,0.0778097772313975,24,False
embed,last2,2,False,TracIn_trunc_k1,C1,0.16347826086956518,0.9505589414333672,0.17198119311050084,0.22264828352130367,24,False
embed,last2,2,False,TracIn_trunc_k1,C5,0.2860869565217391,0.9380881188989534,0.3049681056162647,0.08767019694173468,24,False
embed,last2,2,False,TracIn_trunc_k5,C1,0.12,0.9505589414333672,0.12624151409175063,0.2882449360444733,24,False
embed,last2,2,False,TracIn_trunc_k5,C5,0.26347826086956516,0.9380881188989534,0.2808672826800249,0.10675118329261908,24,False
embed,last3,3,True,TracIn,C1,0.07391304347826086,0.9505589414333672,0.07775745433187539,0.36570958969620176,24,False
embed,last3,3,True,TracIn,C5,0.23391304347826083,0.9380881188989534,0.24935082191724986,0.13564179991434117,24,False
embed,last3,3,True,TracIn_trunc_k1,C1,-0.01652173913043478,0.9505589414333672,-0.017381078027125088,0.5305385665272448,24,False
embed,last3,3,True,TracIn_trunc_k1,C5,0.29565217391304344,0.9380881188989534,0.3151646076277507,0.0803589466811215,24,False
embed,last3,3,True,TracIn_trunc_k5,C1,-0.25565217391304346,0.9505589414333672,-0.26894931263025135,0.8860408220724741,24,False
embed,last3,3,True,TracIn_trunc_k5,C5,0.2843478260869565,0.9380881188989534,0.3031141961596309,0.08904749047656121,24,False
