group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
obs_blocks_00,last3,3,True,TracIn,C1,-0.10869565217391304,0.82979067062928,-0.13099165370403912,0.6934219011296834,24,False
obs_blocks_00,last3,3,True,TracIn,C5,0.21652173913043476,0.8444377100886411,0.25640936749225274,0.15475994878115024,24,False
obs_blocks_00,last3,3,True,TracIn_trunc_k1,C1,-0.3173913043478261,0.82979067062928,-0.38249562881579424,0.9346409571983622,24,False
obs_blocks_00,last3,3,True,TracIn_trunc_k1,C5,0.25999999999999995,0.8444377100886411,0.3078971922898938,0.1099159800849677,24,False
obs_blocks_00,last3,3,True,TracIn_trunc_k5,C1,-0.33391304347826084,0.82979067062928,-0.40240636017880815,0.9446065837214329,24,False
obs_blocks_00,last3,3,True,TracIn_trunc_k5,C5,0.11826086956521738,0.8444377100886411,0.14004688344958383,0.2910338966841287,24,False
obs_blocks_00,last3,3,False,TracIn,C1,-0.11565217391304347,0.82979067062928,-0.13937511954109763,0.7047608415565794,24,False
obs_blocks_00,last3,3,False,TracIn,C5,0.2452173913043478,0.8444377100886411,0.29039133185869587,0.12406064953775087,24,False
obs_blocks_00,last3,3,False,TracIn_trunc_k1,C1,-0.3930434782608695,0.82979067062928,-0.4736658197938054,0.971283455722365,24,False
obs_blocks_00,last3,3,False,TracIn_trunc_k1,C5,0.27478260869565213,0.8444377100886411,0.3254030527210918,0.09689031793427863,24,False
obs_blocks_00,last3,3,False,TracIn_trunc_k5,C1,-0.44434782608695644,0.82979067062928,-0.5354938803421119,0.9851995263344416,24,False
obs_blocks_00,last3,3,False,TracIn_trunc_k5,C5,0.1469565217391304,0.8444377100886411,0.17402884781602695,0.24659656105533304,24,False
obs_blocks_00,last5,5,True,TracIn,C1,-0.0008695652173913043,0.82979067062928,-0.001047933229632313,0.5016087516373653,24,False
obs_blocks_00,last5,5,True,TracIn,C5,0.31304347826086953,0.8444377100886411,0.370712338543016,0.06818372920873285,24,False
obs_blocks_00,last5,5,True,TracIn_trunc_k1,C1,-0.007826086956521738,0.82979067062928,-0.009431399066690816,0.514475845743952,24,False
obs_blocks_00,last5,5,True,TracIn_trunc_k1,C5,0.3869565217391304,0.8444377100886411,0.45824164069900597,0.03087961010464104,24,False
obs_blocks_00,last5,5,True,TracIn_trunc_k5,C1,-0.050434782608695654,0.82979067062928,-0.06078012731867416,0.5925220905112163,24,False
obs_blocks_00,last5,5,True,TracIn_trunc_k5,C5,0.33391304347826084,0.8444377100886411,0.39542649444588374,0.05539341627856707,24,False
obs_blocks_00,last5,5,False,TracIn,C1,-0.050434782608695654,0.82979067062928,-0.06078012731867416,0.5925220905112163,24,False
obs_blocks_00,last5,5,False,TracIn,C5,0.3869565217391304,0.8444377100886411,0.45824164069900597,0.03087961010464104,24,False
obs_blocks_00,last5,5,False,TracIn_trunc_k1,C1,-0.1217391304347826,0.82979067062928,-0.14671065214852383,0.7145322386555417,24,False
obs_blocks_00,last5,5,False,TracIn_trunc_k1,C5,0.3278260869565217,0.8444377100886411,0.388218198974214,0.058925810544442965,24,False
obs_blocks_00,last5,5,False,TracIn_trunc_k5,C1,-0.08521739130434783,0.82979067062928,-0.10269745650396668,0.6539154841750059,24,False
obs_blocks_00,last5,5,False,TracIn_trunc_k5,C5,0.2721739130434782,0.8444377100886411,0.32231378323323334,0.0991085861577395,24,False
obs_blocks_00,evenly3,3,True,TracIn,C1,0.02608695652173913,0.82979067062928,0.03143799688896939,0.451846608870633,24,False
