weighting,estimator,target,obs_source,lds,ceiling,ratio,p,n,passed
ens_var_q75,trunc_k0,C5,campaign,0.38608695652173913,0.8979354352926859,0.4299718457996843,0.03119857978382517,24,False
ens_var_q75,trunc_k1,C1,campaign,-0.17130434782608694,0.9143627781523938,-0.18734833910478388,0.7882484316077977,24,False
ens_var_q75,trunc_k1,C5,campaign,0.3834782608695652,0.8979354352926859,0.4270666306253621,0.03217069904610962,24,False
ens_var_q75,trunc_k2,C1,campaign,-0.054782608695652164,0.9143627781523938,-0.059913428241631386,0.6003458782558679,24,False
ens_var_q75,trunc_k2,C5,campaign,0.477391304347826,0.8979354352926859,0.5316543769009608,0.009160785730716742,24,True
ens_var_q75,trunc_k5,C1,campaign,-0.08695652173913042,0.9143627781523938,-0.09510067974862126,0.6569023373507357,24,False
ens_var_q75,trunc_k5,C5,campaign,-0.013913043478260868,0.8979354352926859,-0.01549448092971835,0.5257234911491075,24,False
ens_var_q75,trunc_k10,C1,campaign,-0.4913043478260869,0.9143627781523938,-0.5373188405797101,0.992617283290372,24,False
ens_var_q75,trunc_k10,C5,campaign,0.08608695652173912,0.8979354352926859,0.09587210075263229,0.34458996293878885,24,False
fail_div,GradDot_dmean,C1,campaign,-0.07391304347826086,0.9501939858939108,-0.07778731982683088,0.6342904103037983,24,False
fail_div,GradDot_dmean,C5,campaign,0.497391304347826,0.9291652810109744,0.5353098254022595,0.00669926247674022,24,True
fail_div,trunc_k0,C1,campaign,-0.07391304347826086,0.9501939858939108,-0.07778731982683088,0.6342904103037983,24,False
fail_div,trunc_k0,C5,campaign,0.497391304347826,0.9291652810109744,0.5353098254022595,0.00669926247674022,24,True
fail_div,trunc_k1,C1,campaign,-0.16260869565217392,0.9501939858939108,-0.17113210361902795,0.7761229243087924,24,False
fail_div,trunc_k1,C5,campaign,0.4156521739130434,0.9291652810109744,0.44733932961937056,0.0216907741901654,24,False
fail_div,trunc_k2,C1,campaign,-0.15217391304347824,0.9501939858939108,-0.16015036434935767,0.761101506404845,24,False
fail_div,trunc_k2,C5,campaign,0.46782608695652167,0.9291652810109744,0.5034907099063209,0.010574182422816165,24,True
fail_div,trunc_k5,C1,campaign,-0.3808695652173913,0.9501939858939108,-0.4008334833429638,0.9668341093930704,24,False
fail_div,trunc_k5,C5,campaign,-0.04608695652173912,0.9291652810109744,-0.04960038592013942,0.5846638280338823,24,False
fail_div,trunc_k10,C1,campaign,-0.5330434782608695,0.9501939858939108,-0.5609838476923215,0.9963411109645299,24,False
fail_div,trunc_k10,C5,campaign,0.07478260869565216,0.9291652810109744,0.08048364507796207,0.36418758077877716,24,False
fail_div_q75,GradDot_dmean,C1,campaign,0.02869565217391304,0.9336924486439349,0.030733516390316414,0.44705645728753285,24,False
fail_div_q75,GradDot_dmean,C5,campaign,0.45999999999999996,0.9167893906659988,0.5017510070288165,0.011857543834935312,24,True
fail_div_q75,trunc_k0,C1,campaign,0.02869565217391304,0.9336924486439349,0.030733516390316414,0.44705645728753285,24,False
fail_div_q75,trunc_k0,C5,campaign,0.45999999999999996,0.9167893906659988,0.5017510070288165,0.011857543834935312,24,True
fail_div_q75,trunc_k1,C1,campaign,-0.27304347826086955,0.9336924486439349,-0.29243406504725317,0.9016346385548729,24,False
fail_div_q75,trunc_k1,C5,campaign,0.4556521739130434,0.9167893906659988,0.49700855894725865,0.012623027821022719,24,False
fail_div_q75,trunc_k2,C1,campaign,-0.27304347826086955,0.9336924486439349,-0.29243406504725317,0.9016346385548729,24,False
fail_div_q75,trunc_k2,C5,campaign,0.46782608695652167,0.9167893906659988,0.5102874135756205,0.010574182422816165,24,True
fail_div_q75,trunc_k5,C1,campaign,-0.5895652173913043,0.9336924486439349,-0.6314340640192282,0.9987847724043538,24,False
fail_div_q75,trunc_k5,C5,campaign,0.1391304347826087,0.9167893906659988,0.15175833860985,0.25837082775812537,24,False
fail_div_q75,trunc_k10,C1,campaign,-0.5556521739130434,0.9336924486439349,-0.5951126355579451,0.9975912994768334,24,False
fail_div_q75,trunc_k10,C5,campaign,0.23391304347826083,0.9167893906659988,0.25514370678781023,0.13564179991434117,24,False
