target,config,n_masks,depth,budget,ceiling,level_sd_est,level_sd_graddot,lds_est_mean,lds_graddot_mean,ratio_est_mean,paired_sd,paired_mean,ci_width_95,power_0.10,power_0.15,power_0.20,power_0.30
C5,relatif_C5,120,3,360,0.8666569339829714,0.09298033653205821,0.09677832705204867,0.3295855271932297,0.19541405519839652,0.3802952636385479,0.08273477658572782,0.1341714719948332,0.32432032421605306,0.3313559515466765,0.5667747314700651,0.7800936450778937,0.9762150762804914
C5,relatif_C5,120,4,480,0.8968931050038187,0.08833143587823147,0.10021301341214901,0.3335995925867527,0.18910886137954197,0.37195022542327644,0.07764334397010988,0.14449073120721073,0.3043619083628307,0.36057838610517,0.6129656553664351,0.8240802492546704,0.9867555353225247
C5,relatif_C5,120,5,600,0.9193679423007097,0.0803198020889996,0.09396231879104976,0.3439103233837014,0.20402156489666343,0.37407256394329896,0.08174054192523135,0.13988875848703808,0.3204229243469069,0.3367057750985209,0.5754320484924248,0.788698250836273,0.9785814982780389
C5,relatif_C5,120,6,720,0.9297837350776547,0.08325827340731541,0.0898129370880429,0.3524336579658445,0.20469113709226344,0.37904906772369984,0.07239977633679087,0.1477425208735811,0.2838071232402202,0.3960310206798706,0.6653015877090607,0.868128041734088,0.9937693672859691
C5,relatif_C5,120,8,960,0.9439763905526778,0.08074839657699646,0.09412712165147898,0.35169670322549107,0.2117270276897213,0.372569384939363,0.07695882312133999,0.13996967553576983,0.3016785866356528,0.3648752440664741,0.6195277127936629,0.8299426669548059,0.9878809790392643
C5,relatif_C5,120,10,1200,0.9551484419832849,0.08185698124391642,0.09661760084407564,0.3482909244153098,0.19840270920816713,0.3646458593306326,0.08135659074113874,0.14988821520714268,0.31891783570526383,0.33881590141868534,0.5788222593601872,0.792022759361713,0.9794547930042963
C5,relatif_C5,144,2,288,0.8133377371494481,0.08252572000872947,0.09306107910095233,0.3271381527101725,0.1845326878784624,0.4022168624029576,0.07766801056549001,0.14260546483171013,0.3044586014167208,0.3604252846197754,0.6127307412925489,0.8238685874673822,0.9867137337997617
C5,relatif_C5,144,3,432,0.8694574585985113,0.08224896393753131,0.08815073497701748,0.33494118618334834,0.19329412991684558,0.38523010283130354,0.07289585925927143,0.14164705626650279,0.285751768296344,0.3924136957403858,0.6601514215415909,0.8640693853572902,0.993255791986454
C5,relatif_C5,144,4,576,0.8947619361060147,0.07855045882317448,0.08750329522664729,0.3481292359596621,0.20234384641849706,0.3890747045797604,0.07598211024507504,0.14578538954116504,0.29784987216069414,0.3711706833237587,0.6290337448651514,0.8382632111928284,0.9893730680700038
C5,relatif_C5,144,5,720,0.9195900588580459,0.07555508696477588,0.0858644701163106,0.3419588671542109,0.20228407747363156,0.3718601172992867,0.06959294213911565,0.13967478968057936,0.27280433318533337,0.4176432549381476,0.6951624749285271,0.8904642877702251,0.9961611971842959
C5,relatif_C5,144,6,864,0.9302070074682682,0.07875825599924131,0.08539659337721035,0.34128749369423234,0.19764924094446076,0.3668941331920406,0.0714881869231764,0.1436382527497716,0.2802336927388515,0.402832943191846,0.6748678819808097,0.8755060967655306,0.9946391981385589
C5,relatif_C5,144,8,1152,0.9444519272084054,0.07866467771627082,0.0912105710601346,0.35081492792501223,0.20685891138070367,0.3714481571994298,0.06636782780460866,0.14395601654430856,0.26016188499406595,0.4450808997464373,0.7308142955771086,0.9144463775325741,0.9979824766807857
C5,relatif_C5,144,10,1440,0.955283718059378,0.07388460245588212,0.08614390117669088,0.35367974456015633,0.20208609546049694,0.3702352901802232,0.0684928385673456,0.15159364909965942,0.2684919271839947,0.42667453144153267,0.7071770061016354,0.8988736352533843,0.9968825619131949
C7,leverage_C7,24,2,48,0.7986730376066601,0.1893108104586821,0.21773768955393907,0.294759656577344,0.12622725284691252,0.3690617345248491,0.2660299434908228,0.1685324037304315,1.0428373784840255,0.10222836237596417,0.1398469277765953,0.18591290752644224,0.3025218794743205
C7,leverage_C7,24,3,72,0.8544414810376989,0.19312176461477634,0.2163326046033527,0.30573191565757896,0.13266888929358162,0.3578149264081547,0.2512049255838256,0.1730630263639973,0.9847233082885964,0.10624050719100042,0.14738114727411733,0.19802665715297207,0.326135499149271
