group,estimator,target,n_params_frac,lds,ceiling,ratio,p,n,passed
block_04,trunc_k0,C5,,0.3608695652173913,0.9380881188989534,0.38468621225151933,0.04159729639177143,24,False
block_04,trunc_k1,C1,,0.23130434782608694,0.9505589414333672,0.24333509237975123,0.13840894823130748,24,False
block_04,trunc_k1,C5,,0.3539130434782608,0.9380881188989534,0.37727057442498396,0.044879228044911346,24,False
block_04,trunc_k2,C1,,0.11652173913043477,0.9505589414333672,0.12258233977025063,0.29383451647555753,24,False
block_04,trunc_k2,C5,,0.4652173913043478,0.9380881188989534,0.495920779649549,0.010988827282085835,24,False
block_04,trunc_k5,C1,,-0.15304347826086956,0.9505589414333672,-0.1610036701460008,0.7623725161628077,24,False
block_04,trunc_k5,C5,,-0.04434782608695652,0.9380881188989534,-0.04727469114416261,0.5815115079674701,24,False
block_04,trunc_k10,C1,,-0.2052173913043478,0.9505589414333672,-0.21589128496850107,0.8319695551627235,24,False
block_04,trunc_k10,C5,,0.15391304347826085,0.9380881188989534,0.16407098691209376,0.23635993344880765,24,False
block_04,trunc_k20,C1,,-0.25478260869565217,0.9505589414333672,-0.26803451904987635,0.8852205179028918,24,False
block_04,trunc_k20,C5,,-0.0608695652173913,0.9380881188989534,-0.06488683098218398,0.6112359057734226,24,False
block_04,trunc_k135,C1,,-0.3095652173913043,0.9505589414333672,-0.32566651461350166,0.9294942664434477,24,False
block_04,trunc_k135,C5,,0.03130434782608695,0.9380881188989534,0.033370370219408904,0.44227347782764753,24,False
block_05,GradDot_dmean,C1,,0.44695652173913036,0.9505589414333672,0.47020390031275233,0.014273142291222188,24,False
block_05,GradDot_dmean,C5,,0.3739130434782608,0.9380881188989534,0.398590533176273,0.03593503688402976,24,False
block_05,trunc_k0,C1,,0.44695652173913036,0.9505589414333672,0.47020390031275233,0.014273142291222188,24,False
block_05,trunc_k0,C5,,0.3739130434782608,0.9380881188989534,0.398590533176273,0.03593503688402976,24,False
block_05,trunc_k1,C1,,0.2617391304347826,0.9505589414333672,0.27535286769287637,0.10832584897664314,24,False
block_05,trunc_k1,C5,,0.38260869565217387,0.9380881188989534,0.40786008045944216,0.032499849678470485,24,False
block_05,trunc_k2,C1,,0.19913043478260867,0.9505589414333672,0.20948772990587605,0.1754493565384439,24,False
block_05,trunc_k2,C5,,0.45826086956521733,0.9380881188989534,0.4885051418230137,0.012159116503212627,24,False
block_05,trunc_k5,C1,,-0.11826086956521738,0.9505589414333672,-0.12441192693100063,0.7089661033158713,24,False
block_05,trunc_k5,C5,,-0.2269565217391304,0.9380881188989534,-0.24193518409071454,0.856900231398301,24,False
block_05,trunc_k10,C1,,-0.18956521739130433,0.9505589414333672,-0.199425000521751,0.8125098044280425,24,False
block_05,trunc_k10,C5,,-0.017391304347826087,0.9380881188989534,-0.01853909456633828,0.5321427016410414,24,False
block_05,trunc_k20,C1,,-0.25478260869565217,0.9505589414333672,-0.26803451904987635,0.8852205179028918,24,False
block_05,trunc_k20,C5,,-0.15652173913043477,0.9380881188989534,-0.16685185109704453,0.7674218510621545,24,False
block_05,trunc_k135,C1,,-0.05304347826086955,0.9505589414333672,-0.05580240840287527,0.5972206812693983,24,False
block_05,trunc_k135,C5,,0.046956521739130425,0.9380881188989534,0.05005555532911335,0.4137618979324297,24,False
head,GradDot_dmean,C1,,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,GradDot_dmean,C5,,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058,24,False
head,trunc_k0,C1,,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,trunc_k0,C5,,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058,24,False
head,trunc_k1,C1,,0.3426086956521739,0.9505589414333672,0.3604286706677518,0.05062024503528925,24,False
head,trunc_k1,C5,,0.31478260869565217,0.9380881188989534,0.3355576116507229,0.06704353419973938,24,False
head,trunc_k2,C1,,0.13999999999999999,0.9505589414333672,0.14728176644037574,0.2570493454645214,24,False
head,trunc_k2,C5,,0.4260869565217391,0.9380881188989534,0.4542078168752879,0.018942152406185592,24,False
head,trunc_k5,C1,,-0.10173913043478258,0.9505589414333672,-0.10703084890387553,0.6819081088971573,24,False
head,trunc_k5,C5,,-0.33826086956521734,0.9380881188989534,-0.3605853893152795,0.9470327989183898,24,False
head,trunc_k10,C1,,-0.268695652173913,0.9505589414333672,-0.2826712163358764,0.8978803703132554,24,False
head,trunc_k10,C5,,-0.13652173913043478,0.9380881188989534,-0.1455318923457555,0.7376451902760786,24,False
head,trunc_k20,C1,,-0.13304347826086957,0.9505589414333672,-0.13996341779737573,0.7322881337281901,24,False
head,trunc_k20,C5,,0.35739130434782607,0.9380881188989534,0.3809783933382517,0.04321487841069335,24,False
head,trunc_k135,C1,,-0.21304347826086956,0.9505589414333672,-0.22412442719187614,0.8412273737743545,24,False
head,trunc_k135,C5,,-0.22347826086956518,0.9380881188989534,-0.2382273651774469,0.8530765642825728,24,False
last_block,GradDot_dmean,C1,,0.44695652173913036,0.9505589414333672,0.47020390031275233,0.014273142291222188,24,False
last_block,GradDot_dmean,C5,,0.3739130434782608,0.9380881188989534,0.398590533176273,0.03593503688402976,24,False
last_block,trunc_k0,C1,,0.44695652173913036,0.9505589414333672,0.47020390031275233,0.014273142291222188,24,False
last_block,trunc_k0,C5,,0.3739130434782608,0.9380881188989534,0.398590533176273,0.03593503688402976,24,False
last_block,trunc_k1,C1,,0.2617391304347826,0.9505589414333672,0.27535286769287637,0.10832584897664314,24,False
last_block,trunc_k1,C5,,0.38260869565217387,0.9380881188989534,0.40786008045944216,0.032499849678470485,24,False
last_block,trunc_k2,C1,,0.19913043478260867,0.9505589414333672,0.20948772990587605,0.1754493565384439,24,False
last_block,trunc_k2,C5,,0.45826086956521733,0.9380881188989534,0.4885051418230137,0.012159116503212627,24,False
last_block,trunc_k5,C1,,-0.11826086956521738,0.9505589414333672,-0.12441192693100063,0.7089661033158713,24,False
last_block,trunc_k5,C5,,-0.2269565217391304,0.9380881188989534,-0.24193518409071454,0.856900231398301,24,False
last_block,trunc_k10,C1,,-0.18956521739130433,0.9505589414333672,-0.199425000521751,0.8125098044280425,24,False
last_block,trunc_k10,C5,,-0.017391304347826087,0.9380881188989534,-0.01853909456633828,0.5321427016410414,24,False
last_block,trunc_k20,C1,,-0.25478260869565217,0.9505589414333672,-0.26803451904987635,0.8852205179028918,24,False
last_block,trunc_k20,C5,,-0.15652173913043477,0.9380881188989534,-0.16685185109704453,0.7674218510621545,24,False
last_block,trunc_k135,C1,,-0.05304347826086955,0.9505589414333672,-0.05580240840287527,0.5972206812693983,24,False
last_block,trunc_k135,C5,,0.046956521739130425,0.9380881188989534,0.05005555532911335,0.4137618979324297,24,False
head_plus_last_block,GradDot_dmean,C1,,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head_plus_last_block,GradDot_dmean,C5,,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058,24,False
head_plus_last_block,trunc_k0,C1,,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head_plus_last_block,trunc_k0,C5,,0.3878260869565217,0.9380881188989534,0.41342180882934365,0.03056315504004058,24,False
head_plus_last_block,trunc_k1,C1,,0.3426086956521739,0.9505589414333672,0.3604286706677518,0.05062024503528925,24,False
head_plus_last_block,trunc_k1,C5,,0.31478260869565217,0.9380881188989534,0.3355576116507229,0.06704353419973938,24,False
head_plus_last_block,trunc_k2,C1,,0.13043478260869562,0.9505589414333672,0.13721903705625066,0.27176298760879264,24,False
head_plus_last_block,trunc_k2,C5,,0.4260869565217391,0.9380881188989534,0.4542078168752879,0.018942152406185592,24,False
head_plus_last_block,trunc_k5,C1,,-0.10173913043478258,0.9505589414333672,-0.10703084890387553,0.6819081088971573,24,False
head_plus_last_block,trunc_k5,C5,,-0.33826086956521734,0.9380881188989534,-0.3605853893152795,0.9470327989183898,24,False
head_plus_last_block,trunc_k10,C1,,-0.2582608695652174,0.9505589414333672,-0.2716936933713764,0.8884783909341032,24,False
head_plus_last_block,trunc_k10,C5,,-0.13652173913043478,0.9380881188989534,-0.1455318923457555,0.7376451902760786,24,False
head_plus_last_block,trunc_k20,C1,,-0.1452173913043478,0.9505589414333672,-0.15277052792262574,0.7508102653771943,24,False
head_plus_last_block,trunc_k20,C5,,0.36173913043478256,0.9380881188989534,0.3856131669798362,0.04120012080471129,24,False
head_plus_last_block,trunc_k135,C1,,-0.2226086956521739,0.9505589414333672,-0.23418715657600117,0.852110788732789,24,False
head_plus_last_block,trunc_k135,C5,,-0.23217391304347823,0.9380881188989534,-0.24749691246061603,0.8625173794084112,24,False
