target,ceiling,GradDot_ALL,GradDot_head,TracIn_head_last5_lr,KFAC_embed_1e-4,datamodel_LOO,draw
C1,0.9410410538432025,0.3613019842348464,0.3613019842348464,0.5248581254357871,-0.04620229977427703,,boot214
C1,0.9184024602798418,0.27931299209746374,0.27931299209746374,0.4478476110579674,-0.2262908647840469,,boot215
C1,0.9533220647510077,0.32654688204179416,0.3247225977845774,0.353911145900045,0.2845883441258094,,boot216
C1,0.942053904872466,0.3350680595669056,0.3350680595669056,0.48552561799502025,-0.2021484987469761,,boot217
C1,0.9608247422680413,0.48418548236611303,0.4796603844000746,0.542106736331405,0.23892517260682958,0.24978540772532187,boot218
C1,0.8933102168317664,0.1868964650726397,0.1868964650726397,0.44679936181427926,0.17618885509451973,,boot219
C1,0.9207427435032287,0.31071323509239895,0.31071323509239895,0.4778750667378538,-0.16243974600575264,,boot220
C1,0.9515650550627324,0.30521799961385565,0.2951659098062137,0.391117676151887,0.45508552038233574,,boot221
C1,0.9736942756363944,0.590311171666262,0.590311171666262,0.6822961197473888,0.11699056503521982,0.8162547820014574,boot222
C1,0.9294738241943349,0.20769114012242257,0.18898022659788,0.25727506096246033,0.3339898064130849,0.19646459200769703,boot223
C1,0.9607986574293215,0.38916899038836,0.3801185487514215,0.5095398641596435,0.4516170376832364,0.5041095991774803,boot224
C1,0.957208860486204,0.41788163118007937,0.41515631619412235,0.4969157657728335,0.14535013258437546,,boot225
C1,0.9240684913197795,0.2484287902333225,0.2484287902333225,0.3190051510950619,-0.11762726810289893,,boot226
C1,0.9525465263797073,0.3341158261054339,0.32316120885607535,0.5659885578835218,0.21635369067483018,0.8380282195759242,boot227
C1,0.9066585175376047,0.5668209513698698,0.5639436876573323,0.4795439520895683,0.13235413077672084,,boot228
C1,0.9501711677443896,0.2397737320291015,0.2287917290354022,0.24434956660980953,0.3312904236432624,0.48137779789048624,boot229
C1,0.9358850550233349,0.30847340773778553,0.30847340773778553,0.3995288112266499,-0.11335468597593322,0.4208989569434242,boot230
C1,0.9132595089792963,0.19995269017923106,0.19995269017923106,0.25708203023043985,0.15805784080834454,0.5379679521488835,boot231
C1,0.9167448519214881,0.32914188697361146,0.3253477441842903,0.2798180307124362,-0.1735820326114435,,boot232
C1,0.9538472645885601,0.2525242501180625,0.2525242501180625,0.3455115191146054,0.16227190079788853,,boot233
C1,0.9389862156076664,0.6047224948760852,0.60009215418025,0.5843489958144101,-0.03611665742751504,,boot234
C1,0.9497640774376852,0.4358061684065093,0.4358061684065093,0.6637804035603346,0.267343279778783,,boot235
C1,0.9459825130570143,0.17740929101763095,0.17740929101763095,0.3897489087641219,0.1718939762709689,0.5359047495506675,boot236
C1,0.9591825740298453,0.3880115455807873,0.38710497654905657,0.5267166074356014,0.35900133656540134,0.6500099957509918,boot237
