group,lam_rel,method,frac_preconditioned,target,lds,ceiling,ratio,p,n,passed
head,0.01,kfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,1.0,kfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,1.0,kfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,100.0,kfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,100.0,kfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,10000.0,kfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,10000.0,kfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,0.0001,ekfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,0.0001,ekfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,0.01,ekfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,0.01,ekfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,1.0,ekfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,1.0,ekfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,100.0,ekfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,100.0,ekfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
head,10000.0,ekfac,0.9721765107977417,C1,0.48086956521739127,0.9505589414333672,0.5058808499473776,0.008686620791301242,24,True
head,10000.0,ekfac,0.9721765107977417,C5,0.37652173913043474,0.9380881188989534,0.40137139736122374,0.03487671002196547,24,False
embed,0.0,none,0.9770992366412213,C1,0.26347826086956516,0.9505589414333672,0.27718245485362636,0.10675118329261908,24,False
embed,0.0,none,0.9770992366412213,C5,0.4547826086956522,0.9380881188989534,0.4847973229097461,0.01278078985201723,24,False
embed,0.0001,kfac,0.9770992366412213,C1,0.3043478260869565,0.9505589414333672,0.32017775313125163,0.07409385429314208,24,False
embed,0.0001,kfac,0.9770992366412213,C5,0.5765217391304347,0.9380881188989534,0.614570984874114,0.0015947071317874745,24,True
embed,0.01,kfac,0.9770992366412213,C1,0.2791304347826086,0.9505589414333672,0.29364873930037644,0.0932689803785228,24,False
embed,0.01,kfac,0.9770992366412213,C5,0.5747826086956522,0.9380881188989534,0.6127170754174803,0.0016521659125182317,24,True
embed,1.0,kfac,0.9770992366412213,C1,0.23130434782608694,0.9505589414333672,0.24333509237975123,0.13840894823130748,24,False
embed,1.0,kfac,0.9770992366412213,C5,0.4669565217391304,0.9380881188989534,0.49777468910618283,0.010710965839107639,24,False
embed,100.0,kfac,0.9770992366412213,C1,0.029565217391304344,0.9505589414333672,0.031102981732750157,0.44546130218835234,24,False
embed,100.0,kfac,0.9770992366412213,C5,0.29913043478260865,0.9380881188989534,0.3188724265410184,0.0778097772313975,24,False
embed,10000.0,kfac,0.9770992366412213,C1,0.01652173913043478,0.9505589414333672,0.017381078027125088,0.46946143347275515,24,False
