source,kind,A,B,lds_A,lds_B,ceil_A,ceil_B,ratio_A,ratio_B,log_gap,estimator_term,ceiling_term,ceiling_share,abs_ceiling_term,material,DENOMINATOR_DRIVEN,ceiling_spread_pct
b7_diffusion.csv,auto,TracIn,TracIn_trunc_k5,0.3321739130434782,0.3313043478260869,0.8444377100886411,0.82979067062928,0.3933669814539781,0.3992625604899112,-0.01487627561075643,0.0026212334798740656,-0.017497509090630494,0.8697118634184936,0.017497509090630494,False,False,1.7345316634217542
b4_tracin.csv,auto,TracIn_trunc_k5,TracIn_trunc_k1,0.4095652173913042,0.4104347826086956,0.9380881188989534,0.9505589414333672,0.43659567703726637,0.43178256993700215,0.011085391430562457,-0.002120891569137847,0.013206282999700305,0.8616254052818152,0.013206282999700305,False,False,1.3119462655949325
p7_per_draw.csv,auto,leverage_C7,leverage_C7,0.397391304347826,0.3965217391304347,0.9387064523571482,0.9514778084511322,0.4233392700667526,0.4167430239659657,0.01570413210897863,0.0021905813798186818,0.01351355072915995,0.8605092363833182,0.01351355072915995,False,False,1.3422652615276291
b4_tracin.csv,auto,TracIn,TracIn_trunc_k1,0.3878260869565217,0.3869565217391304,0.9380881188989534,0.9505589414333672,0.41342180882934365,0.40708314326687706,0.015450952853524033,0.002244669853823728,0.013206282999700305,0.8547228850477162,0.013206282999700305,False,False,1.3119462655949325
b1_layerwise.csv,auto,trunc_k0,trunc_k1,0.3834782608695652,0.3826086956521738,0.9505589414333672,0.9380881188989534,0.4034239689453771,0.4078600804594421,-0.010936134465161076,0.002270148534539299,-0.013206282999700376,0.8533157640689406,0.013206282999700376,False,False,1.3119462655949325
b1_layerwise.csv,auto,GradDot_dmean,trunc_k1,0.3834782608695652,0.3826086956521738,0.9505589414333672,0.9380881188989534,0.4034239689453771,0.4078600804594421,-0.010936134465161076,0.002270148534539299,-0.013206282999700376,0.8533157640689406,0.013206282999700376,False,False,1.3119462655949325
b1_layerwise.csv,auto,trunc_k0,trunc_k1,0.3834782608695652,0.3826086956521738,0.9505589414333672,0.9380881188989534,0.4034239689453771,0.4078600804594421,-0.010936134465161076,0.002270148534539299,-0.013206282999700376,0.8533157640689406,0.013206282999700376,False,False,1.3119462655949325
b1_layerwise.csv,auto,GradDot_dmean,trunc_k1,0.3834782608695652,0.3826086956521738,0.9505589414333672,0.9380881188989534,0.4034239689453771,0.4078600804594421,-0.010936134465161076,0.002270148534539299,-0.013206282999700376,0.8533157640689406,0.013206282999700376,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k1,0.3791304347826086,0.38,0.9380881188989534,0.9505589414333672,0.40415226154617445,0.39976479462387704,0.010915331253144258,-0.002290951746556047,0.013206282999700305,0.8521702881793496,0.013206282999700305,False,False,1.3119462655949325
b13_trak_gseries.csv,auto,GradDot,TRAK,0.5930434782608696,0.5904347826086956,0.9505589414333672,0.927024325224925,0.6238892218157532,0.6369140124402214,-0.020661834672673157,0.004408530284765956,-0.025070364957439115,0.8504513059751898,0.025070364957439115,False,False,2.475871319768334
b4_tracin.csv,auto,TracIn_trunc_k1,TracIn_trunc_k1,0.3730434782608695,0.3721739130434782,0.9380881188989534,0.9505589414333672,0.3976635784479561,0.3915316524005019,0.015540006345920402,0.0023337233462200966,0.013206282999700305,0.8498248138210863,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn,0.3695652173913043,0.3704347826086955,0.9505589414333672,0.9380881188989534,0.388787271659377,0.39488271426300525,-0.015556460344653668,-0.0023501773449532927,-0.013206282999700376,0.8489259579052645,0.013206282999700376,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k1,0.3695652173913043,0.368695652173913,0.9505589414333672,0.9380881188989534,0.388787271659377,0.39302880480637153,-0.010850569307241171,0.002355713692459205,-0.013206282999700376,0.8486239433757201,0.013206282999700376,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k5,0.3608695652173913,0.3617391304347825,0.9380881188989534,0.9505589414333672,0.38468621225151933,0.38055412943600186,0.010799542969135552,-0.002406740030564754,0.013206282999700305,0.8458504784179586,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k5,0.3608695652173913,0.3617391304347825,0.9380881188989534,0.9505589414333672,0.38468621225151933,0.38055412943600186,0.010799542969135552,-0.002406740030564754,0.013206282999700305,0.8458504784179586,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn_trunc_k5,TracIn_trunc_k5,0.3460869565217391,0.3452173913043477,0.9380881188989534,0.9505589414333672,0.36892798187013176,0.36317305140887673,0.015722007596947897,0.002515724597247592,0.013206282999700305,0.8399870638826069,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn,TracIn_trunc_k5,0.3443478260869564,0.3452173913043477,0.9380881188989534,0.9505589414333672,0.3670740724134979,0.36317305140887673,0.01068421356699047,-0.002522069432709835,0.013206282999700305,0.8396482121348698,0.013206282999700305,False,False,1.3119462655949325
b2_scores_archived.csv,auto,trunc_k1,trunc_k2,0.4052173913043478,0.4078260869565216,0.9562323517547398,0.9255046198110548,0.42376456994029876,0.44065267555312776,-0.03907893991654145,-0.0064171343206332054,-0.03266180559590824,0.8357904709201965,0.03266180559590824,False,False,3.2134168946802353
b4_tracin.csv,auto,TracIn_trunc_k5,TracIn_trunc_k5,0.3295652173913043,0.328695652173913,0.9505589414333672,0.9380881188989534,0.3467067669621267,0.3503888873037935,-0.0105642735368618,0.002642009462838576,-0.013206282999700376,0.8332937463715056,0.013206282999700376,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn_trunc_k1,TracIn_trunc_k1,0.3252173913043478,0.3260869565217391,0.9380881188989534,0.9505589414333672,0.3466810683905258,0.34304759264062673,0.010536054443821495,-0.0026702285558788097,0.013206282999700305,0.8318126405456826,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn_trunc_k1,TracIn_trunc_k5,0.3252173913043478,0.3243478260869564,0.9380881188989534,0.9505589414333672,0.3466810683905258,0.34121800547987663,0.015883660770416922,0.002677377770716616,0.013206282999700305,0.8314382427693752,0.013206282999700305,False,False,1.3119462655949325
b4_tracin.csv,auto,TracIn_trunc_k5,TracIn_trunc_k5,0.3121739130434782,0.3113043478260869,0.9505589414333672,0.9380881188989534,0.3284108953546266,0.3318497927374552,-0.010416880912121784,0.0027894020875785922,-0.013206282999700376,0.825615341114902,0.013206282999700376,False,False,1.3119462655949325
