source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,3.0,1.0,C8,-0.12347826086956518,-0.09913043478260869,-0.5191304347826087,-0.2335198405042125
cachedE20_full,dmean,3.0,1.0,C9,-0.814782608695652,-0.19913043478260867,0.33652173913043476,-0.2370248890603898
cachedE20_full,dmean,1.0,0.0,C1,-0.5591304347826086,-0.11565217391304346,0.3313043478260869,-0.1528715673033636
cachedE20_full,dmean,1.0,0.0,C2,-0.41130434782608694,-0.13478260869565212,0.17565217391304344,-0.08920187793427231
cachedE20_full,dmean,1.0,0.0,C3,-0.09652173913043476,0.30956521739130427,-0.1234782608695652,0.028040388449417968
cachedE20_full,dmean,1.0,0.0,C4,-0.1391304347826087,-0.7643478260869565,-0.5147826086956521,-0.46427422985401
cachedE20_full,dmean,1.0,0.0,C5,0.06869565217391305,-0.07043478260869565,-0.3443478260869565,-0.1776320020580102
cachedE20_full,dmean,1.0,0.0,C6,-0.13999999999999999,0.07217391304347825,-0.5634782608695652,-0.22255450511286906
cachedE20_full,dmean,1.0,0.0,C7,0.022608695652173938,0.2495652173913043,-0.08086956521739126,0.056627435847964515
cachedE20_full,dmean,1.0,0.0,C8,0.07304347826086957,-0.21999999999999997,-0.28086956521739126,-0.11470191009068109
cachedE20_full,dmean,1.0,0.0,C9,-0.6939130434782608,-0.23652173913043473,0.3565217391304347,-0.19789053958453923
cachedE20_full,dmean,1.0,0.5,C1,-0.4417391304347825,-0.13565217391304346,0.49652173913043474,-0.09463631101678566
cachedE20_full,dmean,1.0,0.5,C2,-0.2573913043478261,-0.11913043478260865,0.25217391304347825,0.0038909254614444694
cachedE20_full,dmean,1.0,0.5,C3,-0.15304347826086956,0.37999999999999995,-0.19652173913043475,0.03640105473020772
cachedE20_full,dmean,1.0,0.5,C4,-0.07652173913043478,-0.7495652173913043,-0.5026086956521738,-0.45025403562930105
cachedE20_full,dmean,1.0,0.5,C5,-0.17826086956521747,-0.0965217391304348,-0.408695652173913,-0.2547752267026819
cachedE20_full,dmean,1.0,0.5,C6,-0.06956521739130435,0.15999999999999998,-0.5243478260869565,-0.15431860569811567
cachedE20_full,dmean,1.0,0.5,C7,0.09913043478260869,0.4347826086956521,0.0556521739130435,0.2481831629043669
cachedE20_full,dmean,1.0,0.5,C8,0.11043478260869564,-0.13130434782608694,-0.40782608695652167,-0.14660106759277128
cachedE20_full,dmean,1.0,0.5,C9,-0.7826086956521738,-0.1452173913043478,0.31304347826086953,-0.21146054408643644
cachedE20_full,dmean,1.0,1.0,C1,-0.47043478260869553,-0.09565217391304345,0.46173913043478254,-0.1042510772396939
cachedE20_full,dmean,1.0,1.0,C2,-0.12521739130434784,-0.16521739130434776,0.46173913043478254,0.09907389542735867
cachedE20_full,dmean,1.0,1.0,C3,-0.16782608695652174,0.5034782608695652,-0.37652173913043474,0.04717345166891761
cachedE20_full,dmean,1.0,1.0,C4,-0.1869565217391304,-0.8313043478260869,-0.5721739130434782,-0.5170107402405301
cachedE20_full,dmean,1.0,1.0,C5,-0.3756521739130435,-0.06608695652173913,-0.4078260869565217,-0.3114669753681909
cachedE20_full,dmean,1.0,1.0,C6,0.07043478260869564,0.15391304347826085,-0.4713043478260869,-0.06903980963406009
cachedE20_full,dmean,1.0,1.0,C7,0.07826086956521738,0.5808695652173912,0.2356521739130435,0.316033185413853
cachedE20_full,dmean,1.0,1.0,C8,0.14,-0.13739130434782607,-0.4452173913043478,-0.17788925332818833
cachedE20_full,dmean,1.0,1.0,C9,-0.6826086956521739,-0.18086956521739134,0.23043478260869563,-0.2552254164254937
cachedE20_full,dmean,0.3,0.0,C1,-0.5330434782608694,-0.16086956521739126,0.34695652173913044,-0.1475014470383948
cachedE20_full,dmean,0.3,0.0,C2,-0.4208695652173913,-0.13565217391304343,0.15043478260869564,-0.11569875876262142
