target,outcome,attributor,rho,ceiling_6seed,ratio,p_onesided,half_ceiling_bar,focal,PASS
C4,neg_plain_loss,TracIn,0.2417391304347826,0.7945492662473793,0.3042468739245153,0.12755323310886668,0.39727463312368966,False,False
C4,logit_success,IF,0.06880143922649748,0.8149231091909629,0.08442690905501746,0.37469558919172874,0.40746155459548145,False,False
C4,logit_success,TRAK,-0.04689015284863204,0.8149231091909629,-0.05753935840055329,0.5861179919322665,0.40746155459548145,False,False
C4,logit_success,TracIn,-0.42376427854791754,0.8149231091909629,-0.5200052296573368,0.9804712420447355,0.40746155459548145,False,False
C4,neg_transport_loss,IF,-0.15043478260869564,0.8020209385905516,-0.1875696448437685,0.7585491538381409,0.4010104692952758,False,False
C4,neg_transport_loss,TRAK,-0.04347826086956521,0.8020209385905516,-0.054210880012649856,0.5799335079425334,0.4010104692952758,False,False
C4,neg_transport_loss,TracIn,0.34956521739130436,0.8020209385905516,0.43585547530170493,0.04702655941797975,0.4010104692952758,False,False
C4,neg_interaction_loss,IF,-0.2652173913043478,0.8754705911113283,-0.3029426619204639,0.8948080510634258,0.43773529555566415,False,False
C4,neg_interaction_loss,TRAK,0.042608695652173914,0.8754705911113283,0.04866947683312371,0.42164568798884394,0.43773529555566415,False,False
C4,neg_interaction_loss,TracIn,-0.03043478260869565,0.8754705911113283,-0.03476391202365979,0.5561330322120197,0.43773529555566415,False,False
C5,neg_plain_loss,IF,0.38,0.9177998400225849,0.4140336306777403,0.0335028053149912,0.45889992001129243,True,False
C5,neg_plain_loss,TRAK,0.03217391304347826,0.9177998400225849,0.03505547902763476,0.4406808560142436,0.45889992001129243,True,False
C5,neg_plain_loss,TracIn,0.24608695652173912,0.9177998400225849,0.26812704229244966,0.12319732422242417,0.45889992001129243,True,False
C5,logit_success,IF,-0.1217391304347826,0.8276621322533075,-0.14708795496460397,0.7145322386555417,0.41383106612665377,True,False
C5,logit_success,TRAK,-0.17130434782608694,0.8276621322533075,-0.20697376520019273,0.7882484316077977,0.41383106612665377,True,False
C5,logit_success,TracIn,-0.2417391304347826,0.8276621322533075,-0.2920746534297136,0.8724467668911333,0.41383106612665377,True,False
C5,neg_transport_loss,IF,0.2478260869565217,0.8614425028463937,0.28768732229678745,0.12148244351019474,0.43072125142319684,True,False
C5,neg_transport_loss,TRAK,0.1782608695652174,0.8614425028463937,0.20693298621347872,0.20231463103593741,0.43072125142319684,True,False
C5,neg_transport_loss,TracIn,0.2582608695652174,0.8614425028463937,0.2998004727092838,0.1115216090658968,0.43072125142319684,True,False
C5,neg_interaction_loss,IF,0.43043478260869555,0.858220810166799,0.5015431664084662,0.01788158044941236,0.4291104050833995,True,True
C5,neg_interaction_loss,TRAK,-0.03217391304347826,0.858220810166799,-0.037489085165885366,0.5593191439857563,0.4291104050833995,True,False
C5,neg_interaction_loss,TracIn,0.19304347826086957,0.858220810166799,0.22493451099531217,0.18305791748556993,0.4291104050833995,True,False
C6,neg_plain_loss,IF,-0.20434782608695648,0.940385146963973,-0.21730226891257484,0.830921375743412,0.4701925734819865,False,False
C6,neg_plain_loss,TRAK,0.04347826086956521,0.940385146963973,0.04623452530054784,0.42006649205746666,0.4701925734819865,False,False
C6,neg_plain_loss,TracIn,0.010434782608695651,0.940385146963973,0.011096286072131483,0.4807019363886902,0.4701925734819865,False,False
C6,logit_success,IF,0.19217391304347822,0.5106241017974524,0.37635104251249624,0.18416024437781375,0.2553120508987262,False,False
C6,logit_success,TRAK,0.0008695652173913043,0.5106241017974524,0.0017029458937217025,0.4983912483626347,0.2553120508987262,False,False
C6,logit_success,TracIn,0.09043478260869564,0.5106241017974524,0.17710637294705706,0.337151379128055,0.2553120508987262,False,False
C6,neg_transport_loss,IF,0.06608695652173913,0.9473202434894045,0.06976200178971294,0.37949372627591177,0.47366012174470223,False,False
C6,neg_transport_loss,TRAK,0.013043478260869565,0.9473202434894045,0.0137688161427065,0.4758823434001502,0.47366012174470223,False,False
C6,neg_transport_loss,TracIn,-0.0008695652173913043,0.9473202434894045,-0.0009179210761804333,0.5016087516373653,0.47366012174470223,False,False
C6,neg_interaction_loss,IF,-0.706086956521739,0.9198328089043347,-0.7676253224352798,0.9999422419896669,0.45991640445216736,False,False
C6,neg_interaction_loss,TRAK,-0.007826086956521738,0.9198328089043347,-0.00850816244078512,0.514475845743952,0.45991640445216736,False,False
C6,neg_interaction_loss,TracIn,-0.08,0.9198328089043347,-0.08697232717247014,0.6449019739021205,0.45991640445216736,False,False
C7,neg_plain_loss,IF,0.21565217391304345,0.9151966795585321,0.23563478619379238,0.15575722456425548,0.45759833977926606,False,False
C7,neg_plain_loss,TRAK,0.3834782608695652,0.9151966795585321,0.4190118577075099,0.03217069904610962,0.45759833977926606,False,False
